Transaction;Tanggal;Items
125000005;Januari 02, 2025;KOMIX HERBAL 15 ML, PUYER OSK BT NO.16/BOX, WOODS EXPECTORANT 60 ML
125000014;Januari 02, 2025;KOMIX HERBAL 15 ML, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB
125000015;Januari 02, 2025;WOODS EXPECTORANT 60 ML, WOODS EXPECTORANT 100 ML
125000016;Januari 02, 2025;KOMIX HERBAL 15 ML, B7 SLASI JERUK NIPIS 12'S, ENTROSTOP 10'S
125000020;Januari 02, 2025;CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD ORANGE 200 ML
125000025;Januari 02, 2025;KALPANAX SALEP 6G/12, WOODS EXPECTORANT 60 ML
125000035;Januari 02, 2025;BEJO JAHE MERAH HERBAL 12 SC, WOODS COUGH SYR ATT  60ML, PROMAG TABLET
125000036;Januari 02, 2025;MIXAGRIP FLU &BATUK PE, PROCOLD FLU BATUK PE
125000047;Januari 02, 2025;KOMIX HERBAL 15 ML, CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG JRK SCH, CEREBROFORT MG STRAW SCH
125000054;Januari 02, 2025;PROMAG SUSPENSI BTL 60 ML, PROMAG HERBAL 15 ML, FATIGON KAPLET 10X6S, FATIGON SPIRIT BOX 10X6S, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB
125000064;Januari 02, 2025;KOMIX HERBAL 15 ML, KOMIX OBH PE
125000089;Januari 02, 2025;KALPANAX K CREAM 5 GR, KALPANAX KRIM 10 GR
125000092;Januari 02, 2025;BEJO JAHE MERAH HERBAL 12 SC, KOMIX HERBAL 15 ML, KALPANAX KRIM 10 GR, PROMAG SUSPENSI 10ML/6, PROMAG HERBAL 15 ML, WOODS COUGH SYR ATT 100ML, WOODS COUGH SYR ATT  60ML
125000104;Januari 02, 2025;KALPANAX K CREAM 5 GR, WOODS COUGH SYR ATT  60ML, FATIGON KAPLET 10X6S
125000110;Januari 02, 2025;ENTROSTOP 10'S, PROMAG TABLET, SAKATONIK ABC STRAW 30TAB
125000112;Januari 02, 2025;KALPANAX KRIM 10 GR, WOODS EXPECTORANT 60 ML
125000117;Januari 02, 2025;B7 SLASI JERUK NIPIS 12'S, WOODS LOZENGES LEMON VITAMIN C
125000141;Januari 02, 2025;KALPANAX K CREAM 5 GR, WOODS EXPECTORANT 60 ML
